year,United States,China,Japan,Germany,India,United Kingdom,France,Brazil
2000,10250,1211,4887,1950,468,1658,1362,655
2005,13037,2286,4755,2861,834,2478,2196,891
2010,14992,6087,5700,3417,1676,2475,2642,2209
2015,18206,11062,4395,3375,2104,2928,2438,1802
2020,21060,14688,5040,3846,2623,2764,2630,1445
2023,25460,17795,4231,4456,3550,3332,3049,2127
2024,27360,18530,4110,4580,3940,3500,3180,2330
2025,28900,19200,4050,4700,4350,3650,3300,2500
